number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_s_force,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,best_value,record_type
0.0,0.0,2024-04-12 14:54:47.017779,2024-04-12 14:54:47.039776,0 days 00:00:00.021997,20.0,20.0,0.4,0.67,0.9,COMPLETE,,,,,,,
1.0,0.0,2024-04-12 14:54:47.040810,2024-04-12 14:54:47.055802,0 days 00:00:00.014992,10.0,30.0,0.6,0.7100000000000001,0.2,COMPLETE,,,,,,,
2.0,0.0,2024-04-12 14:54:47.056804,2024-04-12 14:54:47.094800,0 days 00:00:00.037996,40.0,20.0,0.7000000000000001,0.35000000000000003,0.30000000000000004,COMPLETE,,,,,,,
3.0,0.0,2024-04-12 14:54:47.095806,2024-04-12 14:54:47.104800,0 days 00:00:00.008994,10.0,10.0,0.6,0.77,0.6,COMPLETE,,,,,,,
4.0,0.0,2024-04-12 14:54:47.105810,2024-04-12 14:54:47.210803,0 days 00:00:00.104993,40.0,60.0,0.8,0.21000000000000002,1.0,COMPLETE,,,,,,,
5.0,0.0,2024-04-12 14:54:47.211803,2024-04-12 14:54:47.240804,0 days 00:00:00.029001,20.0,30.0,0.1,0.27,1.0,COMPLETE,,,,,,,
6.0,0.0,2024-04-12 14:54:47.241804,2024-04-12 14:54:47.270800,0 days 00:00:00.028996,20.0,30.0,0.2,0.61,0.6,COMPLETE,,,,,,,
7.0,0.0,2024-04-12 14:54:47.271801,2024-04-12 14:54:47.295801,0 days 00:00:00.024000,10.0,50.0,0.5,0.73,0.2,COMPLETE,,,,,,,
8.0,0.0,2024-04-12 14:54:47.296797,2024-04-12 14:54:47.435801,0 days 00:00:00.139004,50.0,60.0,0.30000000000000004,0.67,1.0,COMPLETE,,,,,,,
9.0,0.0,2024-04-12 14:54:47.436806,2024-04-12 14:54:47.458804,0 days 00:00:00.021998,20.0,20.0,0.7000000000000001,0.6900000000000001,0.7000000000000001,COMPLETE,,,,,,,
10.0,0.0,2024-04-12 14:54:47.459805,2024-04-12 14:54:47.527803,0 days 00:00:00.067998,60.0,10.0,1.0,0.93,0.8,COMPLETE,,,,,,,
11.0,0.0,2024-04-12 14:54:47.528803,2024-04-12 14:54:47.612803,0 days 00:00:00.084000,30.0,40.0,0.4,0.45,0.4,COMPLETE,,,,,,,
12.0,0.0,2024-04-12 14:54:47.613801,2024-04-12 14:54:47.666806,0 days 00:00:00.053005,10.0,40.0,0.4,0.93,0.1,COMPLETE,,,,,,,
13.0,0.0,2024-04-12 14:54:47.667805,2024-04-12 14:54:47.726805,0 days 00:00:00.059000,30.0,20.0,0.9,0.55,0.4,COMPLETE,,,,,,,
14.0,0.0,2024-04-12 14:54:47.727803,2024-04-12 14:54:47.784804,0 days 00:00:00.057001,20.0,30.0,0.5,0.06999999999999999,0.8,COMPLETE,,,,,,,
15.0,0.0,2024-04-12 14:54:47.785805,2024-04-12 14:54:47.827800,0 days 00:00:00.041995,10.0,20.0,0.30000000000000004,0.45,0.1,COMPLETE,,,,,,,
16.0,0.0,2024-04-12 14:54:47.828805,2024-04-12 14:54:47.923803,0 days 00:00:00.094998,30.0,40.0,0.6,0.81,0.4,COMPLETE,,,,,,,
