number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_s_force,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,best_value,record_type
0.0,0.0,2024-04-12 12:54:56.113401,2024-04-12 12:54:56.288406,0 days 00:00:00.175005,60.0,80.0,0.74,0.01,0.4,COMPLETE,,,,,,,
1.0,0.0,2024-04-12 12:54:56.289400,2024-04-12 12:54:56.309404,0 days 00:00:00.020004,40.0,10.0,0.28,0.77,0.92,COMPLETE,,,,,,,
2.0,0.0,2024-04-12 12:54:56.310387,2024-04-12 12:54:56.336399,0 days 00:00:00.026012,60.0,10.0,0.26,0.35000000000000003,0.26,COMPLETE,,,,,,,
3.0,0.0,2024-04-12 12:54:56.337379,2024-04-12 12:54:56.543405,0 days 00:00:00.206026,60.0,90.0,0.12000000000000001,0.31,0.22,COMPLETE,,,,,,,
4.0,0.0,2024-04-12 12:54:56.544377,2024-04-12 12:54:56.551404,0 days 00:00:00.007027,10.0,10.0,0.45999999999999996,0.87,1.0,COMPLETE,,,,,,,
5.0,0.0,2024-04-12 12:54:56.552405,2024-04-12 12:54:56.668377,0 days 00:00:00.115972,60.0,50.0,0.5,0.53,0.1,COMPLETE,,,,,,,
6.0,0.0,2024-04-12 12:54:56.669377,2024-04-12 12:54:56.692403,0 days 00:00:00.023026,30.0,20.0,0.58,0.21000000000000002,0.9,COMPLETE,,,,,,,
7.0,0.0,2024-04-12 12:54:56.693378,2024-04-12 12:54:56.728398,0 days 00:00:00.035020,70.0,10.0,1.0,0.73,0.42000000000000004,COMPLETE,,,,,,,
8.0,0.0,2024-04-12 12:54:56.729403,2024-04-12 12:54:56.818403,0 days 00:00:00.089000,100.0,20.0,0.8,0.8300000000000001,0.98,COMPLETE,,,,,,,
9.0,0.0,2024-04-12 12:54:56.819398,2024-04-12 12:54:57.057377,0 days 00:00:00.237979,100.0,60.0,0.54,0.89,0.62,COMPLETE,,,,,,,
10.0,0.0,2024-04-12 12:54:57.058376,2024-04-12 12:54:57.399486,0 days 00:00:00.341110,80.0,100.0,0.78,0.03,0.58,COMPLETE,,,,,,,
11.0,0.0,2024-04-12 12:54:57.401486,2024-04-12 12:54:57.547507,0 days 00:00:00.146021,40.0,70.0,0.30000000000000004,0.61,0.76,COMPLETE,,,,,,,
12.0,0.0,2024-04-12 12:54:57.548486,2024-04-12 12:54:57.636485,0 days 00:00:00.087999,40.0,40.0,0.8,0.05,0.45999999999999996,COMPLETE,,,,,,,
13.0,0.0,2024-04-12 12:54:57.637486,2024-04-12 12:54:57.730487,0 days 00:00:00.093001,20.0,80.0,0.6799999999999999,0.99,0.74,COMPLETE,,,,,,,
14.0,0.0,2024-04-12 12:54:57.731512,2024-04-12 12:54:57.822510,0 days 00:00:00.090998,40.0,40.0,0.36,0.67,0.4,COMPLETE,,,,,,,
