number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_s_force,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,best_value,record_type
0.0,0.0,2024-04-12 12:50:48.727690,2024-04-12 12:50:49.300689,0 days 00:00:00.572999,100.0,100.0,0.45999999999999996,0.27,0.42000000000000004,COMPLETE,,,,,,,
1.0,0.0,2024-04-12 12:50:49.302689,2024-04-12 12:50:49.463693,0 days 00:00:00.161004,40.0,70.0,0.6799999999999999,0.8300000000000001,0.96,COMPLETE,,,,,,,
2.0,0.0,2024-04-12 12:50:49.465692,2024-04-12 12:50:49.501691,0 days 00:00:00.035999,20.0,30.0,0.16,0.93,0.2,COMPLETE,,,,,,,
3.0,0.0,2024-04-12 12:50:49.503690,2024-04-12 12:50:49.638689,0 days 00:00:00.134999,80.0,30.0,0.78,0.77,0.86,COMPLETE,,,,,,,
4.0,0.0,2024-04-12 12:50:49.640690,2024-04-12 12:50:49.764227,0 days 00:00:00.123537,70.0,30.0,0.62,0.37,0.84,COMPLETE,,,,,,,
5.0,0.0,2024-04-12 12:50:49.765308,2024-04-12 12:50:49.848829,0 days 00:00:00.083521,20.0,70.0,0.72,0.8300000000000001,0.14,COMPLETE,,,,,,,
6.0,0.0,2024-04-12 12:50:49.849830,2024-04-12 12:50:49.974856,0 days 00:00:00.125026,30.0,80.0,0.42000000000000004,0.05,0.58,COMPLETE,,,,,,,
7.0,0.0,2024-04-12 12:50:49.975832,2024-04-12 12:50:50.206831,0 days 00:00:00.230999,60.0,70.0,0.30000000000000004,0.67,0.48,COMPLETE,,,,,,,
8.0,0.0,2024-04-12 12:50:50.208831,2024-04-12 12:50:50.395852,0 days 00:00:00.187021,70.0,50.0,0.54,0.5700000000000001,0.8,COMPLETE,,,,,,,
9.0,0.0,2024-04-12 12:50:50.396831,2024-04-12 12:50:50.410856,0 days 00:00:00.014025,20.0,10.0,0.45999999999999996,0.37,1.0,COMPLETE,,,,,,,
10.0,0.0,2024-04-12 12:50:50.411829,2024-04-12 12:50:51.022831,0 days 00:00:00.611002,100.0,100.0,1.0,0.03,0.38,COMPLETE,,,,,,,
11.0,0.0,2024-04-12 12:50:51.023832,2024-04-12 12:50:51.268852,0 days 00:00:00.245020,40.0,100.0,0.82,0.23,0.62,COMPLETE,,,,,,,
12.0,0.0,2024-04-12 12:50:51.269832,2024-04-12 12:50:51.795856,0 days 00:00:00.526024,100.0,90.0,0.32,0.43,0.32,COMPLETE,,,,,,,
13.0,0.0,2024-04-12 12:50:51.796853,2024-04-12 12:50:51.988290,0 days 00:00:00.191437,50.0,60.0,0.66,0.25,0.6799999999999999,COMPLETE,,,,,,,
14.0,0.0,2024-04-12 12:50:51.989292,2024-04-12 12:50:52.191321,0 days 00:00:00.202029,40.0,80.0,0.98,0.5700000000000001,0.42000000000000004,COMPLETE,,,,,,,
15.0,0.0,2024-04-12 12:50:52.192316,2024-04-12 12:50:52.465320,0 days 00:00:00.273004,90.0,50.0,0.54,0.21000000000000002,1.0,COMPLETE,,,,,,,
16.0,0.0,2024-04-12 12:50:52.466313,2024-04-12 12:50:52.763324,0 days 00:00:00.297011,50.0,90.0,0.1,0.99,0.26,COMPLETE,,,,,,,
17.0,0.0,2024-04-12 12:50:52.764292,2024-04-12 12:50:53.083290,0 days 00:00:00.318998,80.0,60.0,0.36,0.73,0.7,COMPLETE,,,,,,,
