number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_lb,params_s_force,params_ub,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,lb,ub,best_value,record_type
0.0,0.0,2024-04-12 12:57:59.418109,2024-04-12 12:57:59.591086,0 days 00:00:00.172977,30.0,100.0,0.12000000000000001,0.45,-30.0,0.56,60.0,COMPLETE,,,,,,,,,
1.0,0.0,2024-04-12 12:57:59.592086,2024-04-12 12:57:59.637087,0 days 00:00:00.045001,30.0,30.0,0.82,0.03,-20.0,0.88,90.0,COMPLETE,,,,,,,,,
2.0,0.0,2024-04-12 12:57:59.639087,2024-04-12 12:57:59.661107,0 days 00:00:00.022020,30.0,10.0,0.74,0.49,-20.0,0.16,70.0,COMPLETE,,,,,,,,,
3.0,0.0,2024-04-12 12:57:59.662087,2024-04-12 12:57:59.669087,0 days 00:00:00.007000,10.0,10.0,0.32,0.75,-20.0,0.30000000000000004,40.0,COMPLETE,,,,,,,,,
4.0,0.0,2024-04-12 12:57:59.670086,2024-04-12 12:57:59.807086,0 days 00:00:00.137000,40.0,60.0,0.33999999999999997,0.77,-70.0,1.0,50.0,COMPLETE,,,,,,,,,
5.0,0.0,2024-04-12 12:57:59.809087,2024-04-12 12:57:59.973086,0 days 00:00:00.163999,40.0,70.0,0.94,0.89,-90.0,0.33999999999999997,90.0,COMPLETE,,,,,,,,,
6.0,0.0,2024-04-12 12:57:59.974087,2024-04-12 12:58:00.033087,0 days 00:00:00.059000,50.0,20.0,0.6,0.53,0.0,0.38,90.0,COMPLETE,,,,,,,,,
7.0,0.0,2024-04-12 12:58:00.034086,2024-04-12 12:58:00.176109,0 days 00:00:00.142023,30.0,90.0,0.66,0.65,-10.0,0.92,100.0,COMPLETE,,,,,,,,,
8.0,0.0,2024-04-12 12:58:00.178089,2024-04-12 12:58:00.407087,0 days 00:00:00.228998,100.0,40.0,0.26,0.75,-30.0,0.64,80.0,COMPLETE,,,,,,,,,
9.0,0.0,2024-04-12 12:58:00.408085,2024-04-12 12:58:00.755651,0 days 00:00:00.347566,70.0,90.0,0.66,0.81,0.0,0.76,50.0,COMPLETE,,,,,,,,,
