number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
0.0,-976.6304385616794,2024-04-25 22:40:11.728859,2024-04-25 22:40:11.903860,0 days 00:00:00.175001,0.7000000000000001,20.0,560.0,1.0,COMPLETE,,,,,,
1.0,-988.7282308394466,2024-04-25 22:40:11.910860,2024-04-25 22:40:19.317657,0 days 00:00:07.406797,0.5,600.0,940.0,1.0,COMPLETE,,,,,,
2.0,-988.4432110581279,2024-04-25 22:40:19.318653,2024-04-25 22:40:28.412608,0 days 00:00:09.093955,0.6,920.0,770.0,2.0,COMPLETE,,,,,,
3.0,-985.8308640403143,2024-04-25 22:40:28.413635,2024-04-25 22:40:33.528295,0 days 00:00:05.114660,0.7000000000000001,940.0,430.0,1.0,COMPLETE,,,,,,
4.0,-989.4067713946786,2024-04-25 22:40:33.529299,2024-04-25 22:40:43.653907,0 days 00:00:10.124608,0.7000000000000001,780.0,970.0,1.0,COMPLETE,,,,,,
5.0,-966.2770507471436,2024-04-25 22:40:43.654906,2024-04-25 22:40:44.130906,0 days 00:00:00.476000,0.7000000000000001,640.0,60.0,2.0,COMPLETE,,,,,,
6.0,-985.2846493181378,2024-04-25 22:40:44.131896,2024-04-25 22:40:50.599629,0 days 00:00:06.467733,0.6,920.0,540.0,1.0,COMPLETE,,,,,,
7.0,-982.4329965725913,2024-04-25 22:40:50.600625,2024-04-25 22:40:52.421705,0 days 00:00:01.821080,0.2,520.0,300.0,1.0,COMPLETE,,,,,,
8.0,-929.7777774625063,2024-04-25 22:40:52.422706,2024-04-25 22:40:52.488703,0 days 00:00:00.065997,1.0,80.0,60.0,2.0,COMPLETE,,,,,,
9.0,-981.9648285362268,2024-04-25 22:40:52.489704,2024-04-25 22:40:52.985679,0 days 00:00:00.495975,0.7000000000000001,320.0,120.0,1.0,COMPLETE,,,,,,
10.0,-989.5250351454179,2024-04-25 22:40:52.986678,2024-04-25 22:41:02.844610,0 days 00:00:09.857932,1.0,740.0,950.0,2.0,COMPLETE,,,,,,
11.0,-988.210181527097,2024-04-25 22:41:02.846631,2024-04-25 22:41:12.358151,0 days 00:00:09.511520,1.0,680.0,990.0,2.0,COMPLETE,,,,,,
12.0,-989.556720391455,2024-04-25 22:41:12.359151,2024-04-25 22:41:20.333559,0 days 00:00:07.974408,0.9,740.0,790.0,2.0,COMPLETE,,,,,,
13.0,-988.0477955785391,2024-04-25 22:41:20.334558,2024-04-25 22:41:24.265056,0 days 00:00:03.930498,0.9,380.0,760.0,2.0,COMPLETE,,,,,,
14.0,-987.4383883408127,2024-04-25 22:41:24.266078,2024-04-25 22:41:32.631327,0 days 00:00:08.365249,0.9,780.0,790.0,2.0,COMPLETE,,,,,,
15.0,-988.136774956196,2024-04-25 22:41:32.632304,2024-04-25 22:41:39.225475,0 days 00:00:06.593171,0.30000000000000004,780.0,670.0,2.0,COMPLETE,,,,,,
16.0,-984.6103899341892,2024-04-25 22:41:39.226452,2024-04-25 22:41:44.125273,0 days 00:00:04.898821,0.9,400.0,880.0,2.0,COMPLETE,,,,,,
17.0,-989.3292815398511,2024-04-25 22:41:44.126273,2024-04-25 22:41:45.900185,0 days 00:00:01.773912,0.4,220.0,630.0,2.0,COMPLETE,,,,,,
18.0,-989.4113283708575,2024-04-25 22:41:45.901185,2024-04-25 22:41:56.522750,0 days 00:00:10.621565,0.1,1000.0,850.0,2.0,COMPLETE,,,,,,
19.0,-989.5064311536985,2024-04-25 22:41:56.523726,2024-04-25 22:41:59.310441,0 days 00:00:02.786715,0.8,520.0,410.0,2.0,COMPLETE,,,,,,
20.0,-989.5304335512699,2024-04-25 22:41:59.311417,2024-04-25 22:42:06.365263,0 days 00:00:07.053846,1.0,720.0,720.0,2.0,COMPLETE,,,,,,
21.0,-983.745213988036,2024-04-25 22:42:06.366264,2024-04-25 22:42:13.511631,0 days 00:00:07.145367,1.0,700.0,740.0,2.0,COMPLETE,,,,,,
22.0,-985.5776871660571,2024-04-25 22:42:13.512631,2024-04-25 22:42:23.875039,0 days 00:00:10.362408,1.0,840.0,890.0,2.0,COMPLETE,,,,,,
23.0,-989.5135615020347,2024-04-25 22:42:23.877038,2024-04-25 22:42:30.403073,0 days 00:00:06.526035,0.8,740.0,660.0,2.0,COMPLETE,,,,,,
24.0,-988.4980878790193,2024-04-25 22:42:30.405053,2024-04-25 22:42:36.936510,0 days 00:00:06.531457,0.9,580.0,830.0,2.0,COMPLETE,,,,,,
25.0,-986.9426933962745,2024-04-25 22:42:36.938531,2024-04-25 22:42:44.858459,0 days 00:00:07.919928,0.8,840.0,710.0,2.0,COMPLETE,,,,,,
26.0,-985.5557461104445,2024-04-25 22:42:44.859438,2024-04-25 22:42:51.820968,0 days 00:00:06.961530,1.0,860.0,600.0,2.0,COMPLETE,,,,,,
27.0,-989.1736551212653,2024-04-25 22:42:51.821946,2024-04-25 22:43:00.182164,0 days 00:00:08.360218,0.9,660.0,910.0,2.0,COMPLETE,,,,,,
28.0,-984.6358476446371,2024-04-25 22:43:00.183162,2024-04-25 22:43:02.805474,0 days 00:00:02.622312,0.8,460.0,430.0,2.0,COMPLETE,,,,,,
29.0,-988.569021505627,2024-04-25 22:43:02.806473,2024-04-25 22:43:10.942620,0 days 00:00:08.136147,1.0,580.0,1000.0,2.0,COMPLETE,,,,,,
30.0,-989.6319480155839,2024-04-25 22:43:10.943643,2024-04-25 22:43:16.123183,0 days 00:00:05.179540,0.5,720.0,570.0,2.0,COMPLETE,,,,,,
31.0,-982.2669220901639,2024-04-25 22:43:16.125185,2024-04-25 22:43:20.620010,0 days 00:00:04.494825,0.5,700.0,510.0,2.0,COMPLETE,,,,,,
32.0,-988.859643709634,2024-04-25 22:43:20.621032,2024-04-25 22:43:24.971838,0 days 00:00:04.350806,0.4,620.0,560.0,2.0,COMPLETE,,,,,,
33.0,-988.6034991496714,2024-04-25 22:43:24.972837,2024-04-25 22:43:32.790312,0 days 00:00:07.817475,0.4,760.0,810.0,2.0,COMPLETE,,,,,,
