number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
0.0,0.0019833252757917056,2024-04-26 00:33:34.239918,2024-04-26 00:33:34.560045,0 days 00:00:00.320127,1.0,260.0,150.0,2.0,COMPLETE,,,,,,
1.0,0.005436119503512395,2024-04-26 00:33:34.561045,2024-04-26 00:33:34.921213,0 days 00:00:00.360168,0.1,860.0,70.0,2.0,COMPLETE,,,,,,
2.0,0.1532525536007818,2024-04-26 00:33:34.922215,2024-04-26 00:33:34.943284,0 days 00:00:00.021069,0.5,220.0,10.0,2.0,COMPLETE,,,,,,
3.0,0.00019560206699780765,2024-04-26 00:33:34.944287,2024-04-26 00:33:35.879721,0 days 00:00:00.935434,0.8,660.0,190.0,1.0,COMPLETE,,,,,,
4.0,0.004985004448342487,2024-04-26 00:33:35.880719,2024-04-26 00:33:36.227720,0 days 00:00:00.347001,1.0,140.0,310.0,2.0,COMPLETE,,,,,,
5.0,0.01433714462177365,2024-04-26 00:33:36.228719,2024-04-26 00:33:36.674701,0 days 00:00:00.445982,0.7000000000000001,700.0,90.0,2.0,COMPLETE,,,,,,
6.0,0.0001603116855440342,2024-04-26 00:33:36.675721,2024-04-26 00:33:36.859722,0 days 00:00:00.184001,0.9,140.0,170.0,1.0,COMPLETE,,,,,,
7.0,0.024979826573827434,2024-04-26 00:33:36.860720,2024-04-26 00:33:36.977701,0 days 00:00:00.116981,0.5,340.0,50.0,2.0,COMPLETE,,,,,,
8.0,0.005903874143640221,2024-04-26 00:33:36.978725,2024-04-26 00:33:38.576355,0 days 00:00:01.597630,0.6,660.0,330.0,1.0,COMPLETE,,,,,,
9.0,0.01138884359628456,2024-04-26 00:33:38.577331,2024-04-26 00:33:39.502352,0 days 00:00:00.925021,0.7000000000000001,380.0,330.0,1.0,COMPLETE,,,,,,
10.0,0.002215523850453375,2024-04-26 00:33:39.503353,2024-04-26 00:33:39.593355,0 days 00:00:00.090002,0.2,20.0,450.0,1.0,COMPLETE,,,,,,
11.0,0.002219999085422313,2024-04-26 00:33:39.595331,2024-04-26 00:33:40.387144,0 days 00:00:00.791813,0.8,540.0,190.0,1.0,COMPLETE,,,,,,
12.0,0.0010843017608814201,2024-04-26 00:33:40.388144,2024-04-26 00:33:42.049995,0 days 00:00:01.661851,0.9,980.0,210.0,1.0,COMPLETE,,,,,,
13.0,7.849597699881381e-05,2024-04-26 00:33:42.050994,2024-04-26 00:33:43.093995,0 days 00:00:01.043001,0.8,500.0,270.0,1.0,COMPLETE,,,,,,
14.0,0.006608065014992147,2024-04-26 00:33:43.095995,2024-04-26 00:33:43.928995,0 days 00:00:00.833000,0.30000000000000004,460.0,270.0,1.0,COMPLETE,,,,,,
15.0,0.13964530582063206,2024-04-26 00:33:43.929994,2024-04-26 00:33:44.028096,0 days 00:00:00.098102,0.9,20.0,410.0,1.0,COMPLETE,,,,,,
16.0,0.0016537463690519528,2024-04-26 00:33:44.029097,2024-04-26 00:33:44.572292,0 days 00:00:00.543195,0.8,540.0,130.0,1.0,COMPLETE,,,,,,
17.0,0.00872831843892395,2024-04-26 00:33:44.574276,2024-04-26 00:33:44.854302,0 days 00:00:00.280026,0.4,140.0,270.0,1.0,COMPLETE,,,,,,
18.0,0.0009081589570374463,2024-04-26 00:33:44.855294,2024-04-26 00:33:46.284666,0 days 00:00:01.429372,0.7000000000000001,820.0,230.0,1.0,COMPLETE,,,,,,
19.0,0.0008499046731856495,2024-04-26 00:33:46.285679,2024-04-26 00:33:47.595464,0 days 00:00:01.309785,0.9,420.0,390.0,1.0,COMPLETE,,,,,,
20.0,0.001940364491555439,2024-04-26 00:33:47.597464,2024-04-26 00:33:48.132468,0 days 00:00:00.535004,0.6,140.0,490.0,1.0,COMPLETE,,,,,,
21.0,0.012580300399280736,2024-04-26 00:33:48.134441,2024-04-26 00:33:48.995043,0 days 00:00:00.860602,0.8,660.0,170.0,1.0,COMPLETE,,,,,,
22.0,0.0009360314476973674,2024-04-26 00:33:48.996043,2024-04-26 00:33:50.580003,0 days 00:00:01.583960,1.0,780.0,250.0,1.0,COMPLETE,,,,,,
23.0,0.007112875820884631,2024-04-26 00:33:50.582005,2024-04-26 00:33:51.078140,0 days 00:00:00.496135,0.8,580.0,110.0,1.0,COMPLETE,,,,,,
24.0,0.0022958847377913677,2024-04-26 00:33:51.079140,2024-04-26 00:33:52.386886,0 days 00:00:01.307746,0.7000000000000001,940.0,190.0,1.0,COMPLETE,,,,,,
25.0,0.0011429567757941963,2024-04-26 00:33:52.387910,2024-04-26 00:33:53.135707,0 days 00:00:00.747797,0.9,620.0,150.0,1.0,COMPLETE,,,,,,
26.0,0.0011554230187253304,2024-04-26 00:33:53.136701,2024-04-26 00:33:53.864733,0 days 00:00:00.728032,0.6,340.0,290.0,1.0,COMPLETE,,,,,,
27.0,0.001962687073448497,2024-04-26 00:33:53.866701,2024-04-26 00:33:56.073575,0 days 00:00:02.206874,0.9,740.0,370.0,1.0,COMPLETE,,,,,,
28.0,0.0006122943510936407,2024-04-26 00:33:56.075608,2024-04-26 00:33:56.548598,0 days 00:00:00.472990,0.8,260.0,230.0,1.0,COMPLETE,,,,,,
29.0,0.002799148991561775,2024-04-26 00:33:56.549600,2024-04-26 00:33:57.142992,0 days 00:00:00.593392,1.0,500.0,150.0,2.0,COMPLETE,,,,,,
30.0,0.01138381181611637,2024-04-26 00:33:57.144995,2024-04-26 00:33:57.594143,0 days 00:00:00.449148,1.0,260.0,210.0,1.0,COMPLETE,,,,,,
31.0,0.0019662740552495866,2024-04-26 00:33:57.595142,2024-04-26 00:33:58.104120,0 days 00:00:00.508978,0.8,260.0,250.0,1.0,COMPLETE,,,,,,
32.0,0.0575111065565821,2024-04-26 00:33:58.105120,2024-04-26 00:33:58.299144,0 days 00:00:00.194024,0.7000000000000001,100.0,230.0,1.0,COMPLETE,,,,,,
33.0,0.002052271772596576,2024-04-26 00:33:58.300143,2024-04-26 00:33:58.555142,0 days 00:00:00.254999,0.8,180.0,170.0,1.0,COMPLETE,,,,,,
