number,value,datetime_start,datetime_complete,duration,params_alpha,params_initial_temperature,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,no_generations,mutation_ratio,var,initial_temperature,alpha,best_value,record_type
0.0,0.009914211522739844,2024-04-26 04:10:27.214395,2024-04-26 04:10:27.734047,0 days 00:00:00.519652,0.20512306627944865,181.0,0.21650597562174623,291.0,286.0,2.0,COMPLETE,,,,,,,,
1.0,0.0005903134082286209,2024-04-26 04:10:27.735048,2024-04-26 04:10:28.606065,0 days 00:00:00.871017,0.8125306872124859,971.0,0.3314687050193085,559.0,248.0,2.0,COMPLETE,,,,,,,,
2.0,0.0004073485485564752,2024-04-26 04:10:28.607065,2024-04-26 04:10:29.241757,0 days 00:00:00.634692,0.7749597421572306,742.0,0.55553632768994,252.0,359.0,2.0,COMPLETE,,,,,,,,
3.0,0.005017857971832323,2024-04-26 04:10:29.242757,2024-04-26 04:10:29.793696,0 days 00:00:00.550939,0.8492737375255691,400.0,0.814290111494293,571.0,131.0,1.0,COMPLETE,,,,,,,,
4.0,2.4252888520922864e-05,2024-04-26 04:10:29.795693,2024-04-26 04:10:30.899716,0 days 00:00:01.104023,0.7085736064945464,801.0,0.49406581865032617,501.0,328.0,2.0,COMPLETE,,,,,,,,
5.0,0.0008372553108893004,2024-04-26 04:10:30.900691,2024-04-26 04:10:31.509070,0 days 00:00:00.608379,0.37717335353305825,354.0,0.7424251792270314,430.0,191.0,1.0,COMPLETE,,,,,,,,
6.0,0.001219239471789639,2024-04-26 04:10:31.510092,2024-04-26 04:10:32.333301,0 days 00:00:00.823209,0.2395054330015813,786.0,0.46145573263809536,374.0,331.0,2.0,COMPLETE,,,,,,,,
7.0,0.0012670995568773544,2024-04-26 04:10:32.335303,2024-04-26 04:10:33.356351,0 days 00:00:01.021048,0.15934534493258357,891.0,0.5198790837657244,378.0,394.0,2.0,COMPLETE,,,,,,,,
8.0,0.0007273158793812721,2024-04-26 04:10:33.357368,2024-04-26 04:10:33.943603,0 days 00:00:00.586235,0.2537143029538511,420.0,0.24306761493761242,533.0,173.0,1.0,COMPLETE,,,,,,,,
9.0,1.904586402753371e-05,2024-04-26 04:10:33.944588,2024-04-26 04:10:35.539862,0 days 00:00:01.595274,0.568472827349653,605.0,0.8544211213766831,430.0,489.0,2.0,COMPLETE,,,,,,,,
10.0,0.0002917495011085546,2024-04-26 04:10:35.540837,2024-04-26 04:10:37.245692,0 days 00:00:01.704855,0.5914153374908795,600.0,0.7007224197373558,446.0,497.0,1.0,COMPLETE,,,,,,,,
11.0,0.00047061790157641465,2024-04-26 04:10:37.246693,2024-04-26 04:10:39.141543,0 days 00:00:01.894850,0.6041254826719163,647.0,0.8844829666386964,495.0,493.0,2.0,COMPLETE,,,,,,,,
12.0,0.000108197508977529,2024-04-26 04:10:39.143520,2024-04-26 04:10:40.605745,0 days 00:00:01.462225,0.6641035921055727,787.0,0.6322122855348153,481.0,418.0,2.0,COMPLETE,,,,,,,,
13.0,0.0006597252383581614,2024-04-26 04:10:40.606744,2024-04-26 04:10:41.595744,0 days 00:00:00.989000,0.42674518455894617,589.0,0.3993249722016699,327.0,439.0,2.0,COMPLETE,,,,,,,,
14.0,0.0005749722236134696,2024-04-26 04:10:41.596742,2024-04-26 04:10:42.420263,0 days 00:00:00.823521,0.6898071100758743,157.0,0.1271940819100411,490.0,267.0,2.0,COMPLETE,,,,,,,,
15.0,0.0007756933123011671,2024-04-26 04:10:42.421284,2024-04-26 04:10:43.459262,0 days 00:00:01.037978,0.5177503697884527,516.0,0.6067236757588264,412.0,353.0,2.0,COMPLETE,,,,,,,,
16.0,5.163242799500644e-06,2024-04-26 04:10:43.460287,2024-04-26 04:10:45.350739,0 days 00:00:01.890452,0.7188679901781755,709.0,0.4163133965898884,592.0,457.0,2.0,COMPLETE,,,,,,,,
17.0,0.0004284191525875412,2024-04-26 04:10:45.352739,2024-04-26 04:10:46.020708,0 days 00:00:00.667969,0.5013366656574737,277.0,0.3567369558654271,209.0,449.0,1.0,COMPLETE,,,,,,,,
18.0,0.0001417805453233037,2024-04-26 04:10:46.021859,2024-04-26 04:10:48.185080,0 days 00:00:02.163221,0.8818284208116374,677.0,0.8927148654670187,596.0,470.0,2.0,COMPLETE,,,,,,,,
19.0,0.001131161100638017,2024-04-26 04:10:48.186188,2024-04-26 04:10:49.177616,0 days 00:00:00.991428,0.39105167733527546,477.0,0.699240856378471,335.0,398.0,2.0,COMPLETE,,,,,,,,
20.0,0.001059834126490463,2024-04-26 04:10:49.179616,2024-04-26 04:10:50.646121,0 days 00:00:01.466505,0.584717000905959,853.0,0.426999743404003,447.0,461.0,1.0,COMPLETE,,,,,,,,
21.0,0.0010258726814996813,2024-04-26 04:10:50.647120,2024-04-26 04:10:51.830979,0 days 00:00:01.183859,0.7412631419341641,713.0,0.5145523938092842,526.0,324.0,2.0,COMPLETE,,,,,,,,
22.0,0.0008377055851380482,2024-04-26 04:10:51.831980,2024-04-26 04:10:53.201995,0 days 00:00:01.370015,0.6917220317345718,989.0,0.2916820517302119,535.0,383.0,2.0,COMPLETE,,,,,,,,
23.0,0.0001515118250799612,2024-04-26 04:10:53.202995,2024-04-26 04:10:54.929164,0 days 00:00:01.726169,0.7394027917244756,879.0,0.4422565227922076,595.0,421.0,2.0,COMPLETE,,,,,,,,
24.0,0.00015325199819244686,2024-04-26 04:10:54.930146,2024-04-26 04:10:55.689225,0 days 00:00:00.759079,0.6347170854724894,583.0,0.5925552023575843,470.0,226.0,2.0,COMPLETE,,,,,,,,
25.0,0.002577775350779683,2024-04-26 04:10:55.690207,2024-04-26 04:10:56.789867,0 days 00:00:01.099660,0.5599975505078223,68.0,0.483103142988319,515.0,308.0,2.0,COMPLETE,,,,,,,,
26.0,0.0007417481104362532,2024-04-26 04:10:56.790866,2024-04-26 04:10:58.169152,0 days 00:00:01.378286,0.4668353497473097,799.0,0.3854825580587001,402.0,493.0,2.0,COMPLETE,,,,,,,,
