number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
0.0,0.006151672697146893,2024-04-25 23:35:44.069732,2024-04-25 23:35:48.146313,0 days 00:00:04.076581,0.8,500.0,780.0,2.0,COMPLETE,,,,,,
1.0,0.00503041242119906,2024-04-25 23:35:48.147316,2024-04-25 23:35:52.946270,0 days 00:00:04.798954,0.4,700.0,720.0,1.0,COMPLETE,,,,,,
2.0,0.006330533391290416,2024-04-25 23:35:52.948270,2024-04-25 23:35:55.966042,0 days 00:00:03.017772,0.1,520.0,650.0,2.0,COMPLETE,,,,,,
3.0,0.10189313830769997,2024-04-25 23:35:55.967195,2024-04-25 23:35:57.057872,0 days 00:00:01.090677,0.6,980.0,120.0,1.0,COMPLETE,,,,,,
4.0,0.03436139794654558,2024-04-25 23:35:57.058873,2024-04-25 23:35:57.460873,0 days 00:00:00.402000,0.8,120.0,340.0,2.0,COMPLETE,,,,,,
5.0,0.005046679914901375,2024-04-25 23:35:57.461873,2024-04-25 23:35:58.437130,0 days 00:00:00.975257,0.8,120.0,780.0,2.0,COMPLETE,,,,,,
6.0,0.033483578439877704,2024-04-25 23:35:58.438131,2024-04-25 23:35:58.784131,0 days 00:00:00.346000,0.30000000000000004,220.0,180.0,1.0,COMPLETE,,,,,,
7.0,0.007828772150430652,2024-04-25 23:35:58.786132,2024-04-25 23:36:02.315390,0 days 00:00:03.529258,0.7000000000000001,880.0,420.0,2.0,COMPLETE,,,,,,
8.0,0.029475453725195777,2024-04-25 23:36:02.316411,2024-04-25 23:36:03.954622,0 days 00:00:01.638211,0.4,700.0,260.0,2.0,COMPLETE,,,,,,
9.0,0.13100085286481722,2024-04-25 23:36:03.955622,2024-04-25 23:36:05.040699,0 days 00:00:01.085077,0.1,600.0,220.0,2.0,COMPLETE,,,,,,
10.0,0.03396194761039695,2024-04-25 23:36:05.042699,2024-04-25 23:36:09.292215,0 days 00:00:04.249516,1.0,380.0,1000.0,1.0,COMPLETE,,,,,,
