number,value,datetime_start,datetime_complete,duration,params_alpha,params_initial_temperature,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,no_generations,mutation_ratio,var,initial_temperature,alpha,best_value,record_type
0.0,0.0391590186712385,2024-04-26 03:39:50.252562,2024-04-26 03:39:50.785562,0 days 00:00:00.533000,0.7670110227392172,488.0,0.5013230834364396,560.0,103.0,1.0,COMPLETE,,,,,,,,
1.0,0.013635049746213213,2024-04-26 03:39:50.786559,2024-04-26 03:39:51.465236,0 days 00:00:00.678677,0.5202041012481429,178.0,0.3174816788196937,471.0,161.0,1.0,COMPLETE,,,,,,,,
2.0,0.002514961426429707,2024-04-26 03:39:51.467256,2024-04-26 03:39:53.075746,0 days 00:00:01.608490,0.5754035293348115,259.0,0.3334380457149491,546.0,333.0,2.0,COMPLETE,,,,,,,,
3.0,0.06516914747021296,2024-04-26 03:39:53.076746,2024-04-26 03:39:54.493751,0 days 00:00:01.417005,0.8288644665441626,363.0,0.517848803863598,546.0,279.0,1.0,COMPLETE,,,,,,,,
4.0,0.006580345829309664,2024-04-26 03:39:54.495753,2024-04-26 03:39:56.852966,0 days 00:00:02.357213,0.4771770075934615,401.0,0.5878617737348634,511.0,474.0,1.0,COMPLETE,,,,,,,,
5.0,0.08810245442041342,2024-04-26 03:39:56.854945,2024-04-26 03:39:57.224948,0 days 00:00:00.370003,0.19945859603342442,308.0,0.2968406815974481,300.0,142.0,2.0,COMPLETE,,,,,,,,
6.0,0.028472493453071124,2024-04-26 03:39:57.225968,2024-04-26 03:39:58.456345,0 days 00:00:01.230377,0.7340278729747692,322.0,0.8058258039638027,339.0,371.0,2.0,COMPLETE,,,,,,,,
7.0,0.05397199887422133,2024-04-26 03:39:58.457347,2024-04-26 03:39:59.001703,0 days 00:00:00.544356,0.5247759428066606,314.0,0.4331240689218484,303.0,197.0,1.0,COMPLETE,,,,,,,,
8.0,0.03737439258206798,2024-04-26 03:39:59.002704,2024-04-26 03:40:00.217062,0 days 00:00:01.214358,0.8396920216361888,185.0,0.6760607924667503,318.0,399.0,2.0,COMPLETE,,,,,,,,
9.0,0.006339583593881315,2024-04-26 03:40:00.218040,2024-04-26 03:40:02.185742,0 days 00:00:01.967702,0.6691580015252871,293.0,0.5070366974465979,481.0,430.0,1.0,COMPLETE,,,,,,,,
10.0,0.0068488467491185645,2024-04-26 03:40:02.186740,2024-04-26 03:40:03.704383,0 days 00:00:01.517643,0.25606296516222826,64.0,0.1033722582238149,598.0,294.0,2.0,COMPLETE,,,,,,,,
11.0,0.13111225949076655,2024-04-26 03:40:03.705383,2024-04-26 03:40:05.707061,0 days 00:00:02.001678,0.6399887396600535,227.0,0.2608847209001872,437.0,495.0,2.0,COMPLETE,,,,,,,,
12.0,0.026876585999614733,2024-04-26 03:40:05.708058,2024-04-26 03:40:07.241290,0 days 00:00:01.533232,0.36516029822133417,240.0,0.39972632056610974,393.0,402.0,1.0,COMPLETE,,,,,,,,
13.0,0.025732115357699925,2024-04-26 03:40:07.242294,2024-04-26 03:40:08.693163,0 days 00:00:01.450869,0.6594691157465331,121.0,0.17138071084607492,473.0,344.0,2.0,COMPLETE,,,,,,,,
14.0,0.05103324954004762,2024-04-26 03:40:08.694163,2024-04-26 03:40:10.479039,0 days 00:00:01.784876,0.608006825326785,422.0,0.6447519430429932,399.0,442.0,1.0,COMPLETE,,,,,,,,
15.0,0.048446657195803766,2024-04-26 03:40:10.480038,2024-04-26 03:40:11.097037,0 days 00:00:00.616999,0.36092494886506604,263.0,0.8630183928383441,241.0,240.0,2.0,COMPLETE,,,,,,,,
16.0,0.0042570981090452875,2024-04-26 03:40:11.098038,2024-04-26 03:40:12.747134,0 days 00:00:01.649096,0.39409947945298013,180.0,0.39403045460786296,516.0,346.0,2.0,COMPLETE,,,,,,,,
17.0,0.020899474169150167,2024-04-26 03:40:12.748132,2024-04-26 03:40:14.539434,0 days 00:00:01.791302,0.3908534590850879,146.0,0.36982461342856016,590.0,330.0,2.0,COMPLETE,,,,,,,,
18.0,0.0008611648708320985,2024-04-26 03:40:14.540434,2024-04-26 03:40:15.708097,0 days 00:00:01.167663,0.1484273096320038,65.0,0.2252088471560031,524.0,248.0,2.0,COMPLETE,,,,,,,,
19.0,0.06423007904794176,2024-04-26 03:40:15.709211,2024-04-26 03:40:16.911685,0 days 00:00:01.202474,0.1128379459682935,51.0,0.2039860262821346,547.0,248.0,2.0,COMPLETE,,,,,,,,
20.0,0.06305885727894278,2024-04-26 03:40:16.912668,2024-04-26 03:40:17.789398,0 days 00:00:00.876730,0.2744169187602461,105.0,0.2119871028268407,437.0,222.0,2.0,COMPLETE,,,,,,,,
21.0,0.057189400042583216,2024-04-26 03:40:17.790545,2024-04-26 03:40:19.338226,0 days 00:00:01.547681,0.12472945009314282,194.0,0.35901190832332264,527.0,319.0,2.0,COMPLETE,,,,,,,,
22.0,0.08815296732913502,2024-04-26 03:40:19.339227,2024-04-26 03:40:20.611797,0 days 00:00:01.272570,0.4451279584033607,104.0,0.4381757637935093,499.0,274.0,2.0,COMPLETE,,,,,,,,
23.0,0.032649016069237646,2024-04-26 03:40:20.612795,2024-04-26 03:40:22.362649,0 days 00:00:01.749854,0.553736468724561,218.0,0.10771859309545295,573.0,349.0,2.0,COMPLETE,,,,,,,,
24.0,0.004179434125916259,2024-04-26 03:40:22.363651,2024-04-26 03:40:23.848001,0 days 00:00:01.484350,0.30662941084823936,151.0,0.27061464823866066,438.0,373.0,2.0,COMPLETE,,,,,,,,
25.0,0.004201294170030678,2024-04-26 03:40:23.849003,2024-04-26 03:40:25.319494,0 days 00:00:01.470491,0.19662619334539147,84.0,0.2525586295122767,428.0,377.0,2.0,COMPLETE,,,,,,,,
26.0,0.01583928172401272,2024-04-26 03:40:25.321096,2024-04-26 03:40:26.383460,0 days 00:00:01.062364,0.21612843124941603,138.0,0.3103674162839387,374.0,306.0,2.0,COMPLETE,,,,,,,,
27.0,0.01125784779548411,2024-04-26 03:40:26.385167,2024-04-26 03:40:27.226655,0 days 00:00:00.841488,0.30347684214665765,156.0,0.15798571394598476,453.0,211.0,2.0,COMPLETE,,,,,,,,
28.0,0.1744713171964296,2024-04-26 03:40:27.227652,2024-04-26 03:40:28.517219,0 days 00:00:01.289567,0.15775435648950903,83.0,0.2496366455191515,535.0,267.0,2.0,COMPLETE,,,,,,,,
29.0,0.06773532119333048,2024-04-26 03:40:28.517738,2024-04-26 03:40:29.076763,0 days 00:00:00.559025,0.44287368060050114,476.0,0.3318236000288593,571.0,105.0,2.0,COMPLETE,,,,,,,,
30.0,0.2427543390038558,2024-04-26 03:40:29.077742,2024-04-26 03:40:29.916758,0 days 00:00:00.839016,0.3324695053120532,355.0,0.45833448693222134,493.0,180.0,2.0,COMPLETE,,,,,,,,
31.0,0.0407640705110488,2024-04-26 03:40:29.917738,2024-04-26 03:40:31.383447,0 days 00:00:01.465709,0.1719064841458045,86.0,0.2441102678811778,422.0,380.0,2.0,COMPLETE,,,,,,,,
32.0,0.05123315478753554,2024-04-26 03:40:31.385452,2024-04-26 03:40:32.823340,0 days 00:00:01.437888,0.2297425854807982,76.0,0.2896388044097121,367.0,422.0,2.0,COMPLETE,,,,,,,,
33.0,0.1567037373000275,2024-04-26 03:40:32.824319,2024-04-26 03:40:34.340356,0 days 00:00:01.516037,0.29163308448638,115.0,0.1685786371527747,459.0,369.0,2.0,COMPLETE,,,,,,,,
34.0,0.0036687642968438183,2024-04-26 03:40:34.342359,2024-04-26 03:40:35.483027,0 days 00:00:01.140668,0.15842694330113652,157.0,0.21215944049094626,415.0,305.0,2.0,COMPLETE,,,,,,,,
