number,value,datetime_start,datetime_complete,duration,params_gene_max,params_gene_min,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,gene_min,gene_max,var,best_value,record_type
0.0,0.007847068398870295,2024-04-26 00:43:33.863891,2024-04-26 00:43:34.325894,0 days 00:00:00.462003,380.0,-60.0,0.8,220.0,290.0,2.0,COMPLETE,,,,,,,,
1.0,0.0002010327606755339,2024-04-26 00:43:34.327895,2024-04-26 00:43:34.950807,0 days 00:00:00.622912,0.0,-40.0,0.1,340.0,310.0,2.0,COMPLETE,,,,,,,,
2.0,0.001335680615187862,2024-04-26 00:43:34.951793,2024-04-26 00:43:35.603772,0 days 00:00:00.651979,480.0,-120.0,0.7000000000000001,740.0,130.0,2.0,COMPLETE,,,,,,,,
3.0,0.017187132709262844,2024-04-26 00:43:35.605792,2024-04-26 00:43:35.711792,0 days 00:00:00.106000,320.0,-140.0,0.1,60.0,290.0,2.0,COMPLETE,,,,,,,,
4.0,0.0037957004981383894,2024-04-26 00:43:35.712791,2024-04-26 00:43:37.720733,0 days 00:00:02.007942,160.0,-460.0,0.8,700.0,390.0,2.0,COMPLETE,,,,,,,,
5.0,0.0035008825514228725,2024-04-26 00:43:37.721734,2024-04-26 00:43:37.924710,0 days 00:00:00.202976,0.0,0.0,0.7000000000000001,60.0,450.0,1.0,COMPLETE,,,,,,,,
6.0,0.01262498115390713,2024-04-26 00:43:37.926737,2024-04-26 00:43:38.333711,0 days 00:00:00.406974,80.0,-300.0,0.7000000000000001,660.0,90.0,2.0,COMPLETE,,,,,,,,
7.0,0.004890152199737666,2024-04-26 00:43:38.334738,2024-04-26 00:43:39.487230,0 days 00:00:01.152492,60.0,-160.0,0.9,300.0,490.0,1.0,COMPLETE,,,,,,,,
8.0,0.010573654231781764,2024-04-26 00:43:39.488238,2024-04-26 00:43:40.264232,0 days 00:00:00.775994,220.0,-60.0,0.9,420.0,230.0,1.0,COMPLETE,,,,,,,,
9.0,0.001288458346769518,2024-04-26 00:43:40.266231,2024-04-26 00:43:42.194243,0 days 00:00:01.928012,460.0,-40.0,1.0,940.0,270.0,2.0,COMPLETE,,,,,,,,
10.0,0.5313059580586804,2024-04-26 00:43:42.195242,2024-04-26 00:43:42.271241,0 days 00:00:00.075999,160.0,-280.0,0.1,500.0,10.0,1.0,COMPLETE,,,,,,,,
11.0,0.0010821975402789553,2024-04-26 00:43:42.272242,2024-04-26 00:43:43.591498,0 days 00:00:01.319256,460.0,-200.0,0.4,980.0,210.0,2.0,COMPLETE,,,,,,,,
12.0,0.0033096263061261526,2024-04-26 00:43:43.593476,2024-04-26 00:43:44.749499,0 days 00:00:01.156023,320.0,-380.0,0.30000000000000004,980.0,190.0,2.0,COMPLETE,,,,,,,,
13.0,0.000789874687934221,2024-04-26 00:43:44.750499,2024-04-26 00:43:45.505679,0 days 00:00:00.755180,380.0,-220.0,0.4,300.0,370.0,2.0,COMPLETE,,,,,,,,
14.0,0.00012975117509948954,2024-04-26 00:43:45.507683,2024-04-26 00:43:46.145681,0 days 00:00:00.637998,380.0,-220.0,0.30000000000000004,260.0,370.0,2.0,COMPLETE,,,,,,,,
15.0,0.0011917807378355409,2024-04-26 00:43:46.146683,2024-04-26 00:43:46.588680,0 days 00:00:00.441997,280.0,-360.0,0.2,180.0,370.0,2.0,COMPLETE,,,,,,,,
16.0,0.0024361223124211356,2024-04-26 00:43:46.589688,2024-04-26 00:43:47.538840,0 days 00:00:00.949152,400.0,-100.0,0.5,420.0,330.0,2.0,COMPLETE,,,,,,,,
17.0,0.0018261952369276187,2024-04-26 00:43:47.539815,2024-04-26 00:43:48.868817,0 days 00:00:01.329002,200.0,-460.0,0.2,540.0,390.0,1.0,COMPLETE,,,,,,,,
18.0,0.005244736255365018,2024-04-26 00:43:48.869817,2024-04-26 00:43:49.406260,0 days 00:00:00.536443,100.0,-320.0,0.30000000000000004,180.0,430.0,2.0,COMPLETE,,,,,,,,
19.0,0.001741973619584834,2024-04-26 00:43:49.407261,2024-04-26 00:43:50.194780,0 days 00:00:00.787519,300.0,-200.0,0.2,380.0,330.0,2.0,COMPLETE,,,,,,,,
20.0,0.004015449047577692,2024-04-26 00:43:50.196783,2024-04-26 00:43:50.767783,0 days 00:00:00.571000,420.0,0.0,0.5,540.0,150.0,1.0,COMPLETE,,,,,,,,
21.0,0.00905241194055549,2024-04-26 00:43:50.768782,2024-04-26 00:43:51.534603,0 days 00:00:00.765821,360.0,-240.0,0.4,340.0,330.0,2.0,COMPLETE,,,,,,,,
22.0,0.0012312844706098263,2024-04-26 00:43:51.536647,2024-04-26 00:43:52.329624,0 days 00:00:00.792977,360.0,-220.0,0.30000000000000004,260.0,430.0,2.0,COMPLETE,,,,,,,,
23.0,0.020995406360224515,2024-04-26 00:43:52.330626,2024-04-26 00:43:52.595627,0 days 00:00:00.265001,260.0,-180.0,0.4,100.0,350.0,2.0,COMPLETE,,,,,,,,
24.0,0.001597459749482001,2024-04-26 00:43:52.596624,2024-04-26 00:43:53.049625,0 days 00:00:00.453001,420.0,-260.0,0.1,140.0,490.0,2.0,COMPLETE,,,,,,,,
