SKU;Display name;Class;Status;Brend;Project;Actually;Added;Dropped;Volume;Alcohol (procents)
#1;SKU #1;#13;#1;#265;#34;#1;05.12.2018;01.01.1900;0.75;0.12
#2;SKU #2;#13;#1;#298;#40;#1;22.05.2018;01.01.1900;0.75;0.11
#3;SKU #3;;;;;;;;0;0
#4;SKU #4;#7;#1;#62;#6;#1;01.01.2001;01.01.1900;0.7;0.38
#5;SKU #5;;;;;;;;0;0
#6;SKU #6;#1;#2;#48;#1;#2;25.02.2020;19.07.2021;0.5;0.4
#7;SKU #7;#10;#1;#76;#8;#1;05.07.2012;01.01.1900;0.7;0.4
#8;SKU #8;#1;#2;#31;#1;#2;20.03.2018;07.09.2021;0.25;0.4
#9;SKU #9;#1;#1;#9;#1;#1;31.05.2016;01.01.1900;0.5;0.4
#10;SKU #10;#12;#2;#172;#32;#1;29.05.2014;01.01.1900;0.75;0.115
#11;SKU #11;#12;#1;#174;#32;#1;29.05.2014;01.01.1900;0.75;0.12
#12;SKU #12;;;;;;;;0;0
#13;SKU #13;#13;#1;#194;#33;#1;05.02.2020;01.01.1900;0.75;0.08
#14;SKU #14;#12;#1;#285;#35;#1;24.12.2014;01.01.1900;0.75;0.12
#15;SKU #15;#12;#2;#284;#35;#1;23.06.2016;01.01.1900;0.75;0.12
#16;SKU #16;#13;#1;#203;#33;#1;20.01.2017;01.01.1900;0.75;0.115
#17;SKU #17;#12;#1;#291;#39;#1;04.10.2017;01.01.1900;0.75;0.115
#18;SKU #18;#12;#2;#215;#33;#1;25.01.2018;01.01.1900;0.75;0.125
#19;SKU #19;#1;#1;#17;#1;#1;09.02.2018;01.01.1900;0.1;0.4
#20;SKU #20;#16;#2;#261;#34;#1;07.08.2018;01.01.1900;0.75;0.12
#21;SKU #21;;;;;;;;0;0
#22;SKU #22;;;;;;;;0;0
#23;SKU #23;#17;#1;#309;#41;#1;26.11.2018;01.01.1900;0.75;0
#24;SKU #24;#17;#1;#309;#41;#1;26.11.2018;01.01.1900;0.75;0
#25;SKU #25;#12;#2;#306;#41;#1;26.11.2018;01.01.1900;0.75;0.13
#26;SKU #26;#12;#1;#265;#34;#1;05.12.2018;01.01.1900;0.75;0.125
#27;SKU #27;#6;#1;#100;#17;#1;31.01.2020;01.01.1900;0.5;0.4
#28;SKU #28;#1;#1;#9;#1;#1;26.07.2019;01.01.1900;1;0.4
#29;SKU #29;#1;#1;#9;#1;#1;31.05.2016;01.01.1900;0.7;0.4
#30;SKU #30;;;;;;;;0;0
#31;SKU #31;#1;#1;#31;#1;#1;05.07.2018;01.01.1900;0.5;0.4
#32;SKU #32;#1;#1;#17;#1;#1;09.02.2018;01.01.1900;0.5;0.4
#33;SKU #33;;;;;;;;0;0
#34;SKU #34;;;;;;;;0;0
#35;SKU #35;#1;#1;#9;#1;#1;26.09.2018;01.01.1900;0.25;0.4
#36;SKU #36;;;;;;;;0;0
#37;SKU #37;;;;;;;;0;0
#38;SKU #38;;;;;;;;0;0
#39;SKU #39;;;;;;;;0;0
#40;SKU #40;#1;#1;#11;#1;#1;31.10.2018;01.01.1900;0.5;0.4
#41;SKU #41;#1;#1;#11;#1;#1;01.01.2001;01.01.1900;1;0.4
#42;SKU #42;#13;#1;#54;#3;#1;03.03.2020;01.01.1900;0.75;0.12
#43;SKU #43;#12;#1;#171;#32;#1;29.05.2014;01.01.1900;0.75;0.12
#44;SKU #44;#12;#1;#171;#32;#1;29.05.2014;01.01.1900;0.75;0.11
#45;SKU #45;;;;;;;;0;0
#46;SKU #46;#10;#1;#70;#8;#1;05.09.2018;01.01.1900;0.7;0.4
#47;SKU #47;;;;;;;;0;0
#48;SKU #48;#10;#1;#73;#8;#1;04.08.2020;01.01.1900;0.7;0.4
#49;SKU #49;#13;#2;#319;#46;#1;24.03.2020;01.01.1900;0.75;0.115
#50;SKU #50;#13;#2;#319;#46;#1;24.03.2020;01.01.1900;0.75;0.115
#51;SKU #51;#1;#1;#15;#1;#1;25.02.2020;01.01.1900;1;0.4
#52;SKU #52;#1;#1;#15;#1;#1;25.02.2020;01.01.1900;0.5;0.4
#53;SKU #53;#13;#1;#220;#33;#1;26.11.2018;01.01.1900;0.75;0.115
#54;SKU #54;#13;#1;#265;#34;#1;05.12.2018;01.01.1900;0.75;0.12
#55;SKU #55;;;;;;;;0;0
#56;SKU #56;;;;;;;;0;0
#57;SKU #57;#12;#1;#185;#32;#2;10.09.2015;01.01.1900;0.75;0.14
#58;SKU #58;#12;#2;#185;#32;#2;10.09.2015;01.01.1900;0.75;0.125
#59;SKU #59;#12;#2;#286;#36;#2;28.09.2016;01.01.1900;0.75;0.08
#60;SKU #60;#13;#1;#288;#37;#1;30.06.2017;01.01.1900;0.75;0.115
#61;SKU #61;#12;#1;#317;#45;#1;12.01.2018;01.01.1900;0.75;0.125
#62;SKU #62;#12;#1;#317;#45;#1;12.01.2018;01.01.1900;0.75;0.13
#63;SKU #63;#13;#1;#168;#29;#1;07.06.2018;01.01.1900;0.75;0.105
#64;SKU #64;#12;#1;#260;#34;#1;07.08.2018;01.01.1900;0.75;0.14
#65;SKU #65;#16;#2;#261;#34;#1;07.11.2018;01.01.1900;0.75;0.12
#66;SKU #66;#16;#1;#222;#33;#1;26.02.2021;01.01.1900;0.75;0.12
#67;SKU #67;;;;;;;;0;0
#68;SKU #68;#6;#1;#97;#17;#1;31.01.2020;01.01.1900;0.5;0.4
#69;SKU #69;;;;;;;;0;0
#70;SKU #70;#12;#2;#256;#34;#1;14.06.2018;01.01.1900;0.75;0.13
#71;SKU #71;#12;#1;#203;#33;#1;26.03.2020;01.01.1900;0.75;0.135
#72;SKU #72;#10;#1;#73;#8;#1;21.02.2020;01.01.1900;0.7;0.4
#73;SKU #73;;;;;;;;0;0
#74;SKU #74;#1;#2;#31;#1;#1;27.02.2020;07.09.2021;0.5;0.4
#75;SKU #75;#12;#1;#187;#32;#1;17.10.2016;01.01.1900;0.75;0.105
#76;SKU #76;#12;#1;#287;#37;#1;30.06.2017;01.01.1900;0.75;0.125
#77;SKU #77;;;;;;;;0;0
#78;SKU #78;#12;#1;#292;#40;#1;22.05.2018;01.01.1900;0.75;0.12
#79;SKU #79;#12;#1;#292;#40;#1;22.05.2018;01.01.1900;0.75;0.12
#80;SKU #80;#12;#2;#182;#32;#1;20.06.2018;01.01.1900;0.75;0.135
#81;SKU #81;#12;#1;#215;#33;#1;30.03.2018;01.01.1900;0.75;0.12
#82;SKU #82;#1;#1;#9;#1;#1;06.03.2018;01.01.1900;0.5;0.4
#83;SKU #83;#1;#1;#13;#1;#1;19.07.2019;01.01.1900;0.7;0.4
#84;SKU #84;#1;#1;#19;#1;#1;30.03.2020;01.01.1900;0.5;0.4
#85;SKU #85;#1;#1;#39;#1;#1;24.06.2019;01.01.1900;0.5;0.4
#86;SKU #86;#1;#1;#34;#1;#1;09.04.2019;01.01.1900;0.5;0.4
